price,year_sold,property_tax,insurance,beds,baths,sqft,year_built,lot_size,basement,popular,recession,property_age,property_type_Condo
411000,2007,298,103,1,1,855,2006,0,0,0,0,1,1
270900,2005,167,58,1,1,856,2005,0,0,0,0,0,1
406250,2006,316,109,1,1,859,2000,0,0,0,0,6,1
365000,2015,277,96,1,1,866,1989,0,0,0,0,26,1
440000,2009,367,127,1,1,879,2008,0,0,0,0,1,1
250000,2005,125,43,1,1,880,1965,0,0,0,0,40,0
350100,2006,294,89,1,1,900,1947,18730,1,0,0,59,0
250000,2011,198,68,1,1,900,1965,0,0,0,1,46,1
305000,2005,258,78,1,1,902,1978,0,1,0,0,27,1
200000,2007,180,54,1,1,914,1982,0,1,0,0,25,1
371500,2013,319,97,1,1,917,2007,0,1,0,1,6,1
270000,2005,168,51,1,1,920,1978,0,1,0,0,27,1
318000,2008,230,79,1,1,926,1973,0,0,0,0,35,1
408400,2005,310,94,1,1,933,2005,0,1,0,0,0,0
325000,2005,180,54,1,1,934,1993,0,1,0,0,12,1
239000,2007,184,56,1,1,945,1984,0,1,0,0,23,1
367500,2006,345,119,1,1,950,1986,0,0,0,0,20,1
378000,2013,280,97,1,1,961,2006,0,0,0,1,7,1
269000,2006,241,73,1,1,966,1996,0,1,0,0,10,1
245000,2007,163,49,1,1,999,1979,0,1,0,0,28,1
225000,2014,184,56,1,1,1005,1982,0,1,0,0,32,1
302000,2011,284,86,1,1,1014,1985,0,1,0,1,26,1
387900,2005,310,94,1,1,1050,2005,0,1,0,0,0,1
560000,2007,489,169,1,1,1092,1984,0,0,0,0,23,1
750000,2012,666,231,1,1,1322,2009,0,0,0,1,3,1
299700,2012,321,93,1,2,814,2008,96703,0,0,1,4,1
779900,2014,612,212,1,2,1207,2012,0,0,0,0,2,1
379000,2007,258,89,1,2,1489,1940,0,0,0,0,67,1
225000,2006,192,58,2,1,768,1950,0,1,0,0,56,1
230000,2004,196,59,2,1,793,1950,0,1,0,0,54,1
328000,2005,219,76,2,1,800,1950,0,0,0,0,55,1
407800,2005,309,107,2,1,803,2000,33541,0,0,0,5,1
470630,2006,313,108,2,1,814,2005,9686,0,0,0,1,1
270000,2015,340,103,2,1,816,1949,3846,1,0,0,66,0
359500,2009,282,93,2,1,835,1954,0,0,0,0,55,1
355000,2012,265,92,2,1,836,1994,0,0,0,1,18,1
283000,2006,182,63,2,1,845,1942,0,0,0,0,64,1
378000,2015,319,106,2,1,864,1942,1296,1,0,0,73,1
255000,2007,242,62,2,1,870,1984,1306,0,0,0,23,1
306000,2012,228,79,2,1,875,1950,0,0,0,1,62,1
369900,2006,294,89,2,1,891,2004,0,1,0,0,2,1
326000,2011,303,92,2,1,893,2003,0,1,0,1,8,1
350000,2005,240,79,2,1,900,1941,0,0,0,0,64,1
350000,2005,240,79,2,1,900,1941,0,0,0,0,64,0
396875,2005,250,87,2,1,912,1960,48787,0,0,0,45,1
374900,2005,266,92,2,1,912,1983,0,0,0,0,22,1
232150,2003,240,80,2,1,920,1941,0,0,0,0,62,1
327000,2008,235,81,2,1,924,1961,0,0,0,0,47,1
455900,2013,345,119,2,1,928,2013,0,0,0,1,0,1
290000,2006,244,84,2,1,930,1983,0,0,0,0,23,1
301000,2005,204,62,2,1,930,1986,1135,1,0,0,19,1
275000,2004,233,71,2,1,930,1988,1059,1,0,0,16,1
531000,2011,414,143,2,1,931,2006,0,0,0,1,5,1
405000,2012,457,139,2,1,945,1955,14374,1,0,1,57,0
336000,2014,276,91,2,1,950,1941,0,0,0,0,73,1
214000,2010,202,61,2,1,952,1964,0,1,0,1,46,1
327500,2010,234,77,2,1,958,1941,0,0,0,1,69,1
251489,2010,176,49,2,1,959,1930,4918,0,0,1,80,0
238900,2013,195,59,2,1,960,1963,0,1,0,1,50,1
297000,2007,262,91,2,1,960,1964,0,1,0,0,43,1
235000,2014,204,62,2,1,960,1985,800,1,0,0,29,0
210000,2012,216,66,2,1,960,1989,1820,1,0,1,23,1
215000,2010,147,51,2,1,966,1958,0,0,0,1,52,1
285000,2013,258,78,2,1,966,1994,0,1,0,1,19,1
239900,2006,200,61,2,1,976,1971,1120,1,0,0,35,1
375500,2013,298,103,2,1,983,1984,0,0,0,1,29,1
415000,2006,336,116,2,1,993,1984,0,0,0,0,22,0
230581,2007,164,42,2,1,996,1987,0,0,0,0,20,1
400000,2006,254,77,2,1,1008,1987,1995,1,0,0,19,1
420000,2005,295,98,2,1,1010,1954,0,0,0,0,51,1
292000,2005,149,51,2,1,1011,1958,0,0,0,0,47,1
200000,2003,353,117,2,1,1015,1930,1615,1,0,0,73,0
226000,2010,201,69,2,1,1021,1961,0,0,0,1,49,1
220000,2011,228,75,2,1,1024,2010,0,0,0,1,1,1
280000,2009,208,72,2,1,1032,1958,0,0,0,0,51,0
299900,2006,154,47,2,1,1032,1964,0,1,0,0,42,1
204000,2015,201,69,2,1,1044,1961,0,0,0,0,54,1
350000,2007,267,92,2,1,1062,1983,0,0,0,0,24,1
228000,2014,184,56,2,1,1070,1972,0,1,0,0,42,0
300000,2005,179,54,2,1,1073,1972,0,1,0,0,33,1
280000,2014,190,66,2,1,1083,1965,0,0,0,0,49,1
305500,2008,303,105,2,1,1100,1960,0,0,0,0,48,1
348500,2009,252,87,2,1,1103,1944,0,0,0,0,65,1
210000,2001,220,67,2,1,1177,1975,0,1,0,0,26,1
250000,2006,143,49,2,1,1179,1964,0,0,0,0,42,1
229000,2002,198,56,2,1,1185,1953,15681,1,0,0,49,0
300000,2009,255,84,2,1,1188,1954,3001,1,0,0,55,0
220000,2014,188,57,2,1,1194,1979,0,1,0,0,35,1
275000,2013,231,70,2,1,1197,1972,1306,1,0,1,41,1
312000,2012,295,89,2,1,1200,1950,0,1,0,1,62,1
265000,2013,261,67,2,1,1240,1987,3484,1,0,1,26,1
265000,2013,261,67,2,1,1240,1987,3484,1,0,1,26,0
231525,2012,225,68,2,1,1242,1984,0,1,0,1,28,1
239900,2007,217,66,2,1,1250,1983,0,1,0,0,24,1
305000,2005,233,71,2,1,1288,1980,0,1,0,0,25,1
337600,2005,259,86,2,1,1296,1954,3001,1,0,0,51,0
248000,1994,475,158,2,1,1344,1880,1102,0,0,0,114,0
336900,2007,217,66,2,1,1346,1986,0,1,0,0,21,1
225000,2000,515,171,2,1,1350,1954,1245,0,0,0,46,1
585000,2013,446,155,2,1,1360,1983,0,0,0,1,30,1
205000,2012,242,68,2,1,1526,2004,2478,1,0,1,8,0
330000,2009,372,123,2,2,832,1943,1136,1,1,0,66,1
250000,2008,375,124,2,2,864,1942,1633,1,1,0,66,1
200000,2012,378,131,2,2,877,2000,0,0,1,1,12,1
286499,2005,195,59,2,2,886,1981,0,1,1,0,24,1
237500,2014,198,60,2,2,886,1982,0,1,1,0,32,1
261000,2009,307,93,2,2,896,1951,3598,1,1,0,58,1
277000,2009,269,82,2,2,899,2000,0,1,1,0,9,1
425000,2008,468,162,2,2,910,1950,6023,1,1,0,58,0
385000,2006,265,92,2,2,915,2005,183387,0,1,0,1,1
275000,2008,286,87,2,2,930,1983,1625,1,1,0,25,1
275000,2005,184,56,2,2,933,1990,0,1,1,0,15,1
201953,2016,150,38,2,2,940,1986,0,1,1,0,30,1
307500,2005,155,47,2,2,940,1988,0,1,1,0,17,1
551400,2007,445,154,2,2,949,2007,0,0,1,0,0,1
435000,2010,371,128,2,2,950,2005,46609,0,1,1,5,1
230000,2012,209,63,2,2,951,1988,0,1,1,1,24,1
367000,2003,331,115,2,2,951,1994,0,0,1,0,9,1
509500,2004,381,132,2,2,954,2000,0,0,1,0,4,1
275000,2003,229,69,2,2,959,2002,0,1,1,0,1,1
279537,2002,278,85,2,2,969,1988,0,1,1,0,14,0
499900,2005,360,124,2,2,970,2000,33541,0,1,0,5,1
315000,2013,295,90,2,2,980,1990,1206,1,1,1,23,0
299900,2012,274,83,2,2,980,1991,1104,1,1,1,21,1
320000,2014,278,85,2,2,984,1947,3598,1,1,0,67,1
279000,2005,180,54,2,2,986,1971,0,1,1,0,34,1
386500,2011,316,109,2,2,992,1944,0,1,1,1,67,1
270000,2005,204,62,2,2,998,1989,0,1,1,0,16,1
440000,2011,347,120,2,2,1000,1940,0,0,1,1,71,0
475000,2004,378,131,2,2,1000,1989,0,0,1,0,15,1
278000,2008,282,86,2,2,1002,2006,0,1,1,0,2,1
443000,2013,378,131,2,2,1005,1989,0,0,1,1,24,1
290000,2013,245,74,2,2,1012,1995,0,1,1,1,18,1
458900,2005,376,114,2,2,1025,2005,0,1,1,0,0,1
615000,2015,453,157,2,2,1027,2008,0,0,1,0,7,1
225000,2008,184,56,2,2,1038,1991,0,1,1,0,17,1
525000,2005,462,153,2,2,1040,1920,1341,0,1,0,85,0
315000,2006,196,59,2,2,1040,1990,0,1,1,0,16,1
490000,2013,367,127,2,2,1041,2007,0,0,1,1,6,0
243000,2007,172,59,2,2,1044,1964,0,0,1,0,43,1
250000,2007,204,62,2,2,1044,1986,0,1,1,0,21,1
289500,2012,253,77,2,2,1045,1996,0,1,1,1,16,1
249950,1996,158,55,2,2,1048,1992,0,0,1,0,4,1
250000,2014,245,74,2,2,1050,1996,0,1,1,0,18,1
345000,2005,245,74,2,2,1053,1993,0,1,1,0,12,1
351500,2010,284,98,2,2,1056,2003,0,0,1,1,7,1
478089,2005,303,92,2,2,1069,1987,0,1,1,0,18,1
349181,2005,204,62,2,2,1070,1988,0,1,1,0,17,1
300000,2008,301,92,2,2,1074,1987,0,1,1,0,21,1
218000,2013,191,58,2,2,1075,1986,0,1,1,1,27,1
416900,2006,373,113,2,2,1075,2005,0,1,1,0,1,1
335000,2007,277,84,2,2,1077,1980,0,1,1,0,27,1
225000,2011,241,73,2,2,1080,1985,1951,1,1,1,26,1
316500,2010,282,86,2,2,1082,1993,0,1,1,1,17,1
535150,2007,432,149,2,2,1084,2007,0,0,1,0,0,1
405000,2014,298,103,2,2,1086,2003,0,0,1,0,11,1
620000,2007,525,182,2,2,1088,2006,0,0,1,0,1,1
545000,2006,432,150,2,2,1095,1986,0,0,1,0,20,1
342500,2006,263,80,2,2,1098,1988,1314,1,1,0,18,1
209000,2012,188,57,2,2,1100,1995,0,1,1,1,17,1
243000,2007,204,62,2,2,1100,1997,0,1,1,0,10,1
254000,2012,245,74,2,2,1102,1986,1307,1,1,1,26,1
240000,2009,239,73,2,2,1104,2003,0,1,1,0,6,1
265000,2012,258,78,2,2,1107,1990,0,1,1,1,22,1
240000,2002,327,99,2,2,1108,1985,0,1,1,0,17,1
250000,2010,228,69,2,2,1112,1974,0,1,1,1,36,1
534625,2006,666,231,2,2,1112,2006,0,1,1,0,0,1
313500,2006,204,62,2,2,1120,1997,0,1,1,0,9,1
469900,2015,352,122,2,2,1123,2007,0,0,1,0,8,0
610000,2013,457,158,2,2,1128,2006,0,0,1,1,7,1
285000,2014,254,77,2,2,1130,1990,0,1,1,0,24,1
296000,2013,258,78,2,2,1130,1992,0,1,1,1,21,1
293815,2010,245,75,2,2,1130,1993,0,1,1,1,17,1
290000,2015,335,102,2,2,1132,1978,0,1,1,0,37,1
278000,2010,274,83,2,2,1134,1983,1511,1,1,1,27,1
380000,2011,266,92,2,2,1135,2006,0,0,1,1,5,1
367500,2012,288,100,2,2,1135,2006,0,0,1,1,6,0
325000,2008,327,99,2,2,1139,1985,0,1,1,0,23,1
280000,2003,327,99,2,2,1141,1975,0,1,1,0,28,1
289900,2006,245,74,2,2,1145,2005,0,1,1,0,1,1
290000,2003,265,81,2,2,1148,1998,0,1,1,0,5,1
306755,2003,319,97,2,2,1149,1997,0,1,1,0,6,1
295000,2004,241,73,2,2,1150,1974,0,1,1,0,30,1
338000,2008,230,79,2,2,1150,2005,0,0,1,0,3,1
305000,2013,268,81,2,2,1152,1995,0,1,1,1,18,1
342900,2006,234,81,2,2,1152,2005,0,0,1,0,1,1
410000,2006,352,122,2,2,1153,1994,0,0,1,0,12,1
377400,2013,307,93,2,2,1155,2012,0,1,1,1,1,1
394000,2013,375,114,2,2,1158,2007,0,1,1,1,6,1
370000,2012,368,112,2,2,1161,2005,0,1,1,1,7,1
326979,2011,223,77,2,2,1163,2005,0,0,1,1,6,1
285000,2005,200,61,2,2,1166,1965,0,1,1,0,40,1
245000,2009,213,64,2,2,1170,1984,0,1,1,0,25,1
315000,2004,237,72,2,2,1170,1997,0,1,1,0,7,0
255000,2010,249,76,2,2,1170,1998,0,1,1,1,12,1
221500,2000,481,159,2,2,1178,1986,0,0,1,0,14,1
275250,2003,270,82,2,2,1181,2003,0,1,1,0,0,1
335000,2006,233,71,2,2,1184,1989,1167,1,1,0,17,1
535000,2012,453,157,2,2,1184,2006,0,0,1,1,6,1
209480,2001,302,92,2,2,1188,2001,0,1,1,0,0,1
230000,2015,252,64,2,2,1193,2007,0,0,1,0,8,1
245000,2012,254,77,2,2,1195,1982,0,1,1,1,30,1
254900,2004,290,74,2,2,1195,2001,0,1,1,0,3,1
400000,2010,453,157,2,2,1200,1938,5000,1,1,1,72,0
550000,2013,503,167,2,2,1200,1940,2744,1,1,1,73,0
399500,2012,322,107,2,2,1200,1954,0,1,1,1,58,1
242000,2010,258,78,2,2,1200,1985,1420,1,1,1,25,1
236511,2004,276,71,2,2,1200,2001,0,1,1,0,3,1
385000,2011,407,118,2,2,1201,2008,96703,0,1,1,3,1
229500,2002,288,99,2,2,1202,1965,0,0,1,0,37,1
387000,2012,379,115,2,2,1204,1995,0,1,1,1,17,1
295000,2005,218,66,2,2,1205,1987,0,1,1,0,18,1
460000,2010,356,123,2,2,1205,2005,9686,0,1,1,5,1
450000,2006,388,134,2,2,1206,1985,0,0,1,0,21,1
346631,2005,409,125,2,2,1215,2003,0,1,1,0,2,1
380000,2011,441,134,2,2,1217,2005,0,1,1,1,6,1
279000,2003,327,99,2,2,1218,2001,0,1,1,0,2,1
250000,2004,192,58,2,2,1220,1994,0,1,1,0,10,1
203255,1999,368,112,2,2,1224,1999,1192,1,1,0,0,1
295990,2004,254,77,2,2,1230,1997,0,1,1,0,7,1
526275,2008,445,154,2,2,1242,2006,0,0,1,0,2,1
295000,2011,348,106,2,2,1242,2007,0,1,1,1,4,0
230000,2011,201,61,2,2,1244,1998,0,1,1,1,13,1
617000,2010,540,187,2,2,1248,2008,0,0,1,1,2,1
485000,2007,439,152,2,2,1252,2006,0,0,1,0,1,1
295000,2005,193,54,2,2,1253,1992,0,0,1,0,13,1
345000,2006,245,74,2,2,1254,1998,0,1,1,0,8,1
257000,2011,270,82,2,2,1256,1988,0,1,1,1,23,1
299000,2012,262,80,2,2,1263,1997,0,1,1,1,15,1
320000,2010,269,82,2,2,1270,1996,0,1,1,1,14,1
319990,2011,299,91,2,2,1288,1991,0,1,1,1,20,1
278000,2004,262,79,2,2,1293,1984,0,1,1,0,20,1
381000,2005,236,82,2,2,1294,1995,0,0,1,0,10,1
442000,2011,409,142,2,2,1305,1987,0,0,1,1,24,1
653000,2012,540,187,2,2,1305,2005,0,0,1,1,7,1
550000,2004,479,159,2,2,1309,1980,759,0,1,0,24,0
225000,2012,261,79,2,2,1316,1973,0,1,1,1,39,1
525000,2006,414,143,2,2,1320,1974,0,0,1,0,32,1
289000,2014,270,82,2,2,1343,1982,0,1,1,0,32,1
371000,2009,368,112,2,2,1346,2004,0,1,1,0,5,1
250000,2012,245,69,2,2,1348,2004,0,0,1,1,8,1
330000,2013,274,83,2,2,1350,1993,2326,1,1,1,20,1
318500,2006,242,68,2,2,1356,1999,0,1,1,0,7,1
267000,2010,237,72,2,2,1360,1967,0,1,1,1,43,1
250000,2011,268,82,2,2,1360,1983,1500,1,1,1,28,1
578324,2006,460,159,2,2,1376,2006,0,0,1,0,0,1
385000,2012,311,108,2,2,1383,1944,0,1,1,1,68,1
210835,1995,347,120,2,2,1388,1994,0,0,1,0,1,1
274500,2012,242,73,2,2,1389,1979,0,1,1,1,33,1
254900,2009,220,67,2,2,1392,1986,0,1,1,0,23,1
275000,2010,450,149,2,2,1400,1944,2945,1,1,1,66,0
290000,2004,233,71,2,2,1413,1980,0,1,1,0,24,1
505000,2003,504,174,2,2,1420,1987,0,0,1,0,16,1
299000,2013,270,82,2,2,1439,1982,0,1,1,1,31,1
271000,2012,245,75,2,2,1470,1986,0,1,1,1,26,0
490000,2009,464,154,2,2,1471,1997,0,0,1,0,12,1
325000,2013,289,88,2,2,1474,1987,2278,1,1,1,26,1
412000,2012,389,118,2,2,1476,2000,1335,1,1,1,12,1
329900,2004,299,85,2,2,1477,2001,3049,1,1,0,3,0
281975,2007,240,47,2,2,1480,2007,0,0,1,0,0,1
215000,2012,233,71,2,2,1496,1971,2387,1,1,1,41,1
589000,2005,380,132,2,2,1516,1981,0,0,1,0,24,1
405490,2007,315,96,2,2,1522,1998,0,1,1,0,9,1
475000,2005,360,124,2,2,1526,1982,0,0,1,0,23,1
375000,2003,360,124,2,2,1530,1976,0,0,1,0,27,1
455000,2006,374,114,2,2,1530,2000,0,1,1,0,6,1
429900,2014,370,128,2,2,1623,1981,0,1,1,0,33,1
465000,2013,389,118,2,2,1638,1995,1875,1,1,1,18,1
471850,2005,319,97,2,2,1640,1998,0,1,1,0,7,1
337980,2001,578,176,2,2,1641,2001,0,1,1,0,0,1
625000,2005,525,174,2,2,1649,1938,6390,0,1,0,67,0
462604,2005,249,70,2,2,1684,2005,0,0,1,0,0,1
395000,2005,401,122,2,2,1750,1996,2217,1,1,0,9,1
575000,2012,632,184,2,2,1825,2006,0,1,1,1,6,1
289000,2012,308,87,2,2,1870,2002,5601,1,1,1,10,0
740000,2009,720,249,2,2,2100,1981,0,0,1,0,28,1
540000,2011,477,158,2,2,2310,1955,3062,1,1,1,56,0
225000,1999,442,135,2,2,2512,1995,2783,1,1,0,4,1
601987,2005,513,132,2,2,2690,2005,3920,0,1,0,0,1
250000,2013,286,73,2,3,1160,1995,1742,1,0,1,18,1
330000,2007,270,82,2,3,1200,1986,1350,1,0,0,21,1
302000,2013,282,86,2,3,1260,1987,2280,1,0,1,26,1
557000,2008,442,153,2,3,1296,1992,0,1,0,0,16,1
408000,2006,274,83,2,3,1314,1987,1440,1,0,0,19,1
495000,2009,500,166,2,3,1600,1920,1165,1,0,0,89,0
416000,2006,340,103,2,3,1667,1988,0,1,0,0,18,1
538000,2014,465,154,2,3,1820,1986,784,1,0,0,28,1
335000,1995,714,237,2,3,1853,1977,1000,1,0,0,18,1
395000,2005,393,119,2,3,1925,1996,2219,1,0,0,9,1
299940,2008,229,65,2,3,1942,2008,0,1,0,0,0,1
300000,2009,348,106,2,3,2067,1986,1260,1,0,0,23,1
399500,2010,322,107,2,3,2180,1975,0,1,0,1,35,1
300000,2016,327,99,2,4,1377,1987,1200,1,0,0,29,1
370000,2015,343,104,3,1,874,1921,11325,1,0,0,94,0
200000,2015,286,87,3,1,876,1950,9047,1,0,0,65,0
455000,2005,392,119,3,1,884,1952,10001,1,0,0,53,0
285000,2009,223,68,3,1,943,1950,0,1,0,0,59,1
433150,2005,286,87,3,1,948,1951,7254,1,0,0,54,0
225000,2015,329,65,3,1,1008,1956,7274,0,0,0,59,0
297000,2012,278,92,3,1,1024,1950,1245,0,0,1,62,1
204000,2008,247,63,3,1,1102,1984,0,1,0,0,24,1
209400,2011,258,78,3,1,1120,1975,3994,1,0,1,36,0
306000,2006,225,68,3,1,1140,1984,1306,1,0,0,22,1
375000,2015,340,103,3,1,1204,1956,11325,1,0,0,59,0
397555,2005,307,93,3,1,1210,1977,1398,1,0,0,28,1
325000,2011,336,102,3,1,1211,1954,16117,1,0,1,57,0
375000,2006,307,93,3,1,1220,1981,1260,1,0,0,25,1
523000,2016,225,68,3,1,1220,1987,2325,1,0,0,29,1
274500,2010,303,92,3,1,1224,1947,3600,1,0,1,63,1
368000,2015,395,120,3,1,1260,1951,10267,1,0,0,64,0
330000,2005,238,72,3,1,1280,1970,1420,1,0,0,35,1
300000,2010,274,83,3,1,1280,1984,1375,1,0,1,26,1
275000,2005,167,47,3,1,1280,1984,1598,0,0,0,21,1
340000,2005,274,83,3,1,1280,1985,1398,1,0,0,20,1
497650,2004,540,187,3,1,1286,1947,8276,0,0,0,57,0
490000,2016,548,167,3,1,1301,1950,51400,1,0,0,66,0
295000,2005,179,54,3,1,1302,1972,0,1,0,0,33,1
650000,2012,511,177,3,1,1309,1952,7540,1,0,1,60,0
580000,2010,526,174,3,1,1323,1920,3674,1,0,1,90,0
330000,2013,291,88,3,1,1368,1994,1340,1,0,1,19,0
299990,2007,241,73,3,1,1382,1985,1995,1,0,0,22,1
389900,2013,348,106,3,1,1404,1956,11761,1,0,1,57,0
430000,2004,404,123,3,1,1506,1981,1746,1,0,0,23,1
482413,2005,377,114,3,1,1520,1995,1400,1,0,0,10,0
325000,2005,299,84,3,1,1568,1954,14810,0,0,0,51,0
500000,2007,372,123,3,1,1618,1958,12196,1,0,0,49,0
656500,2007,522,181,3,1,1846,1954,6255,1,0,0,53,0
296000,2000,430,131,3,1,1860,1995,1977,1,0,0,5,0
399000,2014,351,107,3,1,1928,1954,12632,1,0,0,60,0
200000,1995,771,224,3,1,2175,1940,9500,1,0,0,55,0
225870,1995,471,143,3,1,2622,1995,3010,1,0,0,0,1
359000,2012,352,107,3,2,816,1948,3600,1,0,1,64,0
349900,2007,368,112,3,2,816,1949,3484,1,0,0,58,1
255000,2009,327,99,3,2,879,1950,9999,1,0,0,59,0
255000,2012,360,109,3,2,884,1964,3140,1,0,1,48,0
232500,2007,233,66,3,2,890,1954,25264,1,0,0,53,0
405000,2014,309,107,3,2,922,1944,0,1,0,0,70,1
429900,2005,344,104,3,2,966,1980,5647,1,0,0,25,0
249600,2005,184,52,3,2,969,1988,1281,1,0,0,17,1
299000,2011,336,102,3,2,972,1964,21780,1,0,1,47,0
246700,2012,245,74,3,2,997,1984,1119,1,0,1,28,1
360000,2012,351,107,3,2,1009,1959,8925,1,0,1,53,0
349900,2007,278,85,3,2,1036,1954,3598,1,0,0,53,1
280000,2005,211,59,3,2,1040,2013,14810,1,0,0,-8,0
350000,2014,308,94,3,2,1060,1983,1341,1,0,0,31,1
339500,2006,180,55,3,2,1064,1988,0,1,0,0,18,1
320000,2005,274,83,3,2,1084,1967,0,1,0,0,38,1
299000,2010,344,105,3,2,1092,1958,10545,1,0,1,52,0
305000,2008,319,97,3,2,1092,1958,10724,1,0,0,50,0
325900,2012,286,87,3,2,1100,1984,915,1,0,1,28,1
310000,2004,406,134,3,2,1102,1956,2016,1,0,0,48,1
358000,2013,323,98,3,2,1104,1990,1050,1,0,1,23,1
200750,2008,249,76,3,2,1131,1977,0,1,0,0,31,1
257600,2004,258,78,3,2,1144,1973,1502,1,0,0,31,1
280000,2013,310,80,3,2,1152,1963,8712,0,0,1,50,0
258000,2011,295,89,3,2,1178,1979,1398,1,0,1,32,1
415000,2014,368,112,3,2,1200,1949,5227,1,0,0,65,0
339000,2009,359,109,3,2,1200,1953,8745,1,0,0,56,0
249000,2001,368,112,3,2,1200,1953,9069,1,0,0,48,0
500000,2005,353,107,3,2,1208,1972,11761,1,0,0,33,0
345000,2012,397,121,3,2,1211,1954,10781,1,0,1,58,0
280000,2003,347,89,3,2,1214,2001,2178,1,0,0,2,1
285000,2008,278,84,3,2,1220,1982,2448,1,0,0,26,1
439900,2006,359,109,3,2,1220,1983,2178,1,0,0,23,1
428000,2014,364,111,3,2,1220,1984,1519,1,0,0,30,1
417000,2014,368,112,3,2,1220,1984,1520,1,0,0,30,1
410000,2006,327,99,3,2,1220,1985,1981,1,0,0,21,1
525000,2005,430,131,3,2,1224,1942,7000,1,0,0,63,0
392000,2013,341,118,3,2,1225,1954,16117,1,0,1,59,0
252500,2004,209,59,3,2,1228,1987,2012,1,0,0,17,1
375000,2005,254,77,3,2,1232,1973,2639,1,0,0,32,1
375000,2006,315,96,3,2,1232,1980,1540,1,0,0,26,1
